,admin1Pcod_1,admin1Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,new cases
16254,NG010,Delta,2020-01-22,1460,683,440,70546056.9303039,14317955.756659929,14484179,20.21992099753904,99.62565341460405,165.3445091324201,548.643143939394,3.3181818181818183,20200122,0.37205747147343576,0.5865213978831537,0.041421130643410485,0.5024198117756394,5827726.0,0.04986988030496243,0.7297297297297297,
16255,NG009,Cross River,2020-01-22,308,121,78,11485500.377352452,1885691.478540435,2629706,15.021979002723732,91.49691106304924,142.3001082251082,561.9029914529914,3.948717948717949,20200122,0.3831984467942394,0.5834763463285051,0.03332520687725556,0.5092349804775577,3958265.0,-0.18777845359495773,0.4864864864864865,
16256,NG033,Rivers,2020-01-22,2700,1121,691,163995153.55617693,30035272.942892272,21231002,27.008760286105225,147.47013615969075,131.05556790123458,512.0839845634347,3.907380607814761,20200122,0.3607179556377358,0.6064986277483454,0.03278341661391882,0.5155672987437575,7840763.0,0.1614581709475816,0.8648648648648649,
16257,NG011,Ebonyi,2020-01-22,94,37,22,1896874.2495498925,498196.2670571167,784482,14.071127655884991,53.57559154395976,139.09255319148937,594.3045454545455,4.2727272727272725,20200122,0.407884931714409,0.5547080871017148,0.03740698118387615,0.4891615626926456,2983133.0,-0.13893827298680297,0.5675675675675675,
16258,NG005,Bauchi,2020-01-22,158,74,52,6438549.8131839335,1358752.2477823114,2372992,16.23633661845485,76.93710334033779,250.315611814346,760.574358974359,3.0384615384615383,20200122,0.48096824368540303,0.4930077633721537,0.026023992942443307,0.5108444763587695,6690134.0,-0.4833208988736141,0.08108108108108109,
16259,NG023,Kogi,2020-01-22,157,60,39,12308398.707463777,1805689.9289988028,1245078,28.76932574340854,196.1047276766468,132.17388535031847,532.0846153846154,4.0256410256410255,20200122,0.45037839661721446,0.5217364067083422,0.02788519667444328,0.506811428561977,4836724.0,-0.30831429069378413,0.2972972972972973,
16260,NG014,Enugu,2020-01-22,756,322,214,30836148.715722334,5271110.286402298,6705861,15.3052153414779,89.53595556773888,147.8364417989418,522.2633177570093,3.532710280373832,20200122,0.3548333037798759,0.5979631440077704,0.04720355221235371,0.48606967776766996,4415727.0,0.11263773985257676,0.7837837837837838,
16261,NG032,Plateau,2020-01-22,285,130,81,6180083.051024962,1867398.680668246,2501235,14.32528079739818,47.408957698038535,146.27105263157895,514.6574074074074,3.5185185185185186,20200122,0.44148344424442243,0.5246600953608579,0.033856460394719665,0.49981152163639675,4350632.0,-0.20435074060739566,0.43243243243243246,
16262,NG007,Benue,2020-01-22,142,61,47,9776436.018839816,1584715.8445851237,1670120,20.950995185260677,129.2509724437981,196.02347417840377,592.2411347517731,3.021276595744681,20200122,0.4617573940726351,0.5075744703975699,0.030668135529795037,0.5046642022050832,5814928.0,-0.36118153353601457,0.24324324324324326,
16263,NG026,Nasarawa,2020-01-22,211,128,99,26137742.64478061,4287776.744054204,2237575,26.912130782833074,164.0529324199993,176.74368088467614,376.696127946128,2.1313131313131315,20200122,0.458082127493156,0.5146632772780603,0.02725459522878373,0.5071486116542824,2557000.0,-0.3814972133848704,0.1891891891891892,
16264,NG028,Ogun,2020-01-22,4132,2272,1364,115530168.79779424,27003984.93736698,42213307,12.301684982177951,52.629852437878185,170.26987334624073,515.8028714565005,3.029325513196481,20200122,0.3764942420253995,0.5828607691591555,0.040644988815445024,0.4983858197437503,5854055.0,0.11933543982440241,0.8108108108108109,
16265,NG004,Anambra,2020-01-22,823,388,238,34343182.64950063,8442508.274864152,8181003,22.041728706831496,89.66329558044002,165.67442284325637,572.8993697478992,3.457983193277311,20200122,0.3550563739560004,0.6034760570706295,0.041467568973370096,0.5059823635153309,5936784.0,0.5172892070039768,0.9459459459459459,
16266,NG024,Kwara,2020-01-22,978,492,264,22419322.920671757,5652641.039630321,10204420,13.304501144260511,52.7678841377712,173.89945466939332,644.2184343434344,3.704545454545455,20200122,0.43856274012514257,0.5300045253998054,0.03143273447505214,0.5069599109955376,3378707.0,-0.15738931235438808,0.5405405405405406,
16267,NG036,Yobe,2020-01-22,104,44,30,6079560.93505063,1516905.4859646386,845314,31.41871234417333,125.9221342163977,135.46698717948718,469.6188888888889,3.466666666666667,20200122,0.4691388179850362,0.5048995038050456,0.025961678209918262,0.5201260409235117,3619142.0,-0.5433016922627469,0.02702702702702703,
16268,NG037,Zamfara,2020-01-22,46,24,17,6256088.25404097,1471561.5493825893,615225,53.787409081792816,228.667824538554,222.90760869565216,603.1617647058824,2.7058823529411766,20200122,0.4822951286895683,0.49170011989092705,0.026004751419504635,0.5030233221454106,4568319.0,-0.4763162522559063,0.10810810810810811,
