,admin1Pcod_1,admin1Name_1,admin2Pcod_1,admin2Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,minutes/trip,trip_miles/person,miles/person,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
15419,ZA9,Limpopo,ZA947,Sekhukhune,2020-10-18,1196,694,514,92006841.77217457,28746438.852793235,15199515,211.81040969899664,34.75137934345866,111.22646102328376,492.8506809338522,2.326848249027237,20201018,0.3536917516859454,0.5707075150199985,0.07560073329405607,0.46486328935523974,1125333.0,-0.06015677966101695,0.4423076923076923,1,1,1,0,1,0,0,0,0
15421,ZA5,KwaZulu-Natal,ZA524,Umzinyathi,2020-10-18,359,212,157,17923510.55958745,6628818.387083237,4655505,216.133008356546,26.235393530615745,70.93728105407196,494.2149681528662,2.286624203821656,20201018,0.3952311253914291,0.5454951881678106,0.05927368644076033,0.451447242842509,514461.0,-0.28225945945945946,0.07692307692307693,1,1,1,0,1,0,0,0,0
15422,ZA8,Mpumalanga,ZA831,Nkangala,2020-10-18,4914,2823,2096,400539492.4533778,119059762.72276838,56318014,191.0121218287885,35.295947858082386,118.74222421941413,447.8213581424936,2.344465648854962,20201018,0.27290691475673784,0.6711806877078121,0.055912397535449986,0.5109201270525474,1573837.0,0.07867808219178082,0.6730769230769231,1,1,1,0,1,0,0,0,0
15423,ZA4,Free State,ZA418,Lejweleputswa,2020-10-18,1965,1169,852,146903998.74150342,52776723.67257591,21261625,180.3360899067006,38.49053487184134,107.13839535497628,415.9159820031299,2.306338028169014,20201018,0.27941650281351393,0.6617931601395349,0.058790337046951115,0.500105365269169,574193.0,0.29495049504950493,0.8653846153846154,1,1,1,0,1,0,0,0,0
15424,ZA4,Free State,ZA416,Xhariep,2020-10-18,296,200,145,53379043.59281338,11405988.562324144,3471768,195.48243243243243,48.87829456287412,228.7462066052074,399.0537931034483,2.041379310344828,20201018,0.29515218562959183,0.6325513667867511,0.07229644758365718,0.5005153225730198,105759.0,0.18671264367816093,0.7692307692307693,1,1,1,0,1,0,0,0,0
15425,ZA5,KwaZulu-Natal,ZA529,iLembe,2020-10-18,2202,1249,960,239621446.60832015,58819837.84492269,17966671,135.98751892219195,38.071825800944026,155.0977749631735,311.9213715277777,2.29375,20201018,0.32390440311621094,0.6202867780885334,0.05580881879525565,0.4827645772056803,636799.0,-0.14951617873651774,0.28846153846153844,1,1,1,0,1,0,0,0,0
15426,ZA9,Limpopo,ZA934,Vhembe,2020-10-18,1504,830,593,147720402.6897857,41123274.207132086,23102658,256.01349734042554,43.09075535040214,154.78786296312177,649.3158516020236,2.536256323777403,20201018,0.3433867460978093,0.5887604530714541,0.06785280083073665,0.4597374214109392,1325089.0,-0.0767829596412556,0.4230769230769231,1,1,1,0,1,0,0,0,0
15427,ZA2,Eastern Cape,ZA212,Amathole,2020-10-18,545,370,296,81898138.07670465,20377693.37401021,11567427,353.7439449541285,42.777404144782246,171.92278276601274,651.3190878378379,1.841216216216216,20201018,0.32816698449842097,0.5696178168124134,0.1022151986891656,0.47434426623917664,789726.0,-0.3192883211678832,0.019230769230769232,1,1,1,0,1,0,0,0,0
15428,ZA5,KwaZulu-Natal,ZA595,eThekwini,2020-10-18,19242,9969,7082,1117216058.8363311,305002251.63485295,179183008,155.20130270588643,26.760747350101656,98.02398679268944,421.686453920738,2.717029087828297,20201018,0.2446364969883556,0.6990922562931536,0.05627124671849075,0.494610924976595,3587907.0,0.5666580406654343,0.9230769230769231,1,1,1,0,1,0,0,0,0
15429,ZA6,North West,ZA639,Dr Ruth Segomotsi Mompati,2020-10-18,558,359,243,63294476.0240252,22362648.79657696,8070726,241.0611111111111,57.183151211167925,161.84923468759624,553.5477366255144,2.2962962962962963,20201018,0.3412335579082451,0.5850872971649528,0.07367914492680208,0.4911837461796937,473784.0,-0.16626678765880218,0.2692307692307692,1,1,1,0,1,0,0,0,0
