,admin1Pcod_1,admin1Name_1,admin2Pcod_1,admin2Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,minutes/trip,trip_miles/person,miles/person,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
3498,ZA3,Nothern Cape,ZA345,John Taolo Gaetsewe,2020-03-07,1766,815,422,215840755.4865572,43222920.04327673,8382289,79.10805020762551,63.64331127789056,317.8133354741444,331.05406793048974,4.184834123222749,20200307,0.31986957060536586,0.628082594956317,0.05204783443831712,0.4959027820806741,258224.0,-0.13480926430517712,0.3076923076923077,1,0,0,1,0,0,0,0,0
3500,ZA9,Limpopo,ZA934,Vhembe,2020-03-07,2294,1007,631,250589872.6332792,50512694.87939469,19593518,142.35337111304852,49.74189134759137,246.7659713482446,517.5255678816693,3.635499207606973,20200307,0.3433867460978093,0.5887604530714541,0.06785280083073665,0.4597374214109392,1325089.0,-0.0767829596412556,0.4230769230769231,1,0,0,1,0,0,0,0,0
3501,ZA9,Limpopo,ZA935,Capricorn,2020-03-07,5301,2312,1407,463484692.338899,103361420.93387276,35523617,111.68841413569768,45.64734140513536,204.68801411682705,420.7962212745795,3.767590618336887,20200307,0.3265897738288558,0.6007690312860821,0.07264119488506209,0.472231826966417,1295656.0,0.07397387387387387,0.6346153846153846,1,0,0,1,0,0,0,0,0
3502,ZA1,Western Cape,ZA104,Eden,2020-03-07,12742,5337,2791,1463903425.379918,207928663.74406832,47202227,61.74099696541621,46.291967642768704,325.9145169289275,281.8716529320435,4.565388749552132,20200307,0.24710205256745305,0.6628052101466374,0.09009273728590954,0.4993180863678119,673839.0,0.0004522691705790296,0.5384615384615384,1,0,0,1,0,0,0,0,0
3503,ZA3,Nothern Cape,ZA308,Z F Mgcawu,2020-03-07,1370,595,351,248204662.184128,33167340.31395753,8032089,97.71397810218976,58.71575439950195,439.3938087185651,381.3907407407408,3.903133903133903,20200307,0.27601757542529287,0.6641943181028425,0.059788106471864645,0.5142626583989065,258998.0,-0.04016603773584906,0.46153846153846156,1,0,0,1,0,0,0,0,0
3504,ZA7,Gauteng,ZA742,Sedibeng,2020-03-07,14575,7334,4377,1080684684.5106518,240516864.8130702,60558623,69.24942595769011,34.14444849030914,153.41702783801938,230.59410174396464,3.3299063285355266,20200307,0.24393339879416723,0.6953819961266214,0.06068460507921129,0.5059130831550246,994997.0,0.2808379746835443,0.8461538461538461,1,0,0,1,0,0,0,0,0
3505,ZA7,Gauteng,ZA799,City of Tshwane,2020-03-07,91742,41632,23540,6219617873.766224,1323845707.7136452,299857001,54.47468643950789,34.944757253199015,164.1755043960387,212.3031726139904,3.897281223449448,20200307,0.22283079372412132,0.7204843127840075,0.056684893491871245,0.5057337597223363,3627986.0,0.48224212034383956,0.9038461538461539,1,0,0,1,0,0,0,0,0
3506,ZA1,Western Cape,ZA102,Cape Winelands,2020-03-07,18712,9007,5680,2326048170.6693807,296418006.45085657,72262691,64.36394737779678,32.42704402622931,254.4611487694195,212.03841255868545,3.2943661971830984,20200307,0.24989252608235304,0.6902123420738123,0.059895131843834624,0.5011121214086944,909523.0,-0.012388831437435367,0.5192307692307693,1,0,0,1,0,0,0,0,0
3507,ZA5,KwaZulu-Natal,ZA524,Umzinyathi,2020-03-07,812,379,221,65286072.27610158,12746946.387510125,4064431,83.42428160919539,35.83975237191196,183.56056365019907,306.5181749622926,3.67420814479638,20200307,0.3952311253914291,0.5454951881678106,0.05927368644076033,0.451447242842509,514461.0,-0.28225945945945946,0.07692307692307693,1,0,0,1,0,0,0,0,0
3508,ZA1,Western Cape,ZA103,Overberg,2020-03-07,5259,2381,1526,693047867.0927559,94898164.06008402,27673663,87.70255118210052,38.64153692211568,282.2018213977504,302.2462101354303,3.446264744429882,20200307,0.22836513904770692,0.6721314716747349,0.09950338927755827,0.511077351980676,303457.0,0.051486772486772484,0.5961538461538461,1,0,0,1,0,0,0,0,0
3509,ZA4,Free State,ZA416,Xhariep,2020-03-07,716,334,222,123356384.7415258,23268101.66450924,4379481,101.94322625698324,65.12670302871894,345.27073809427554,328.7898648648649,3.225225225225225,20200307,0.29515218562959183,0.6325513667867511,0.07229644758365718,0.5005153225730198,105759.0,0.18671264367816093,0.7692307692307693,1,0,0,1,0,0,0,0,0
3510,ZA6,North West,ZA640,Dr Kenneth Kaunda,2020-03-07,12128,5363,2993,1100687808.406351,207890237.64320228,44353465,60.95188132145998,43.159707590664645,228.5117593687112,246.9844359060029,4.052121617106582,20200307,0.27505895171327793,0.6602340041700301,0.06470704411669191,0.5065976875287468,754431.0,-0.10069384057971015,0.38461538461538464,1,0,0,1,0,0,0,0,0
3511,ZA3,Nothern Cape,ZA306,Namakwa,2020-03-07,433,224,127,52614336.37320328,12531353.274921436,3260879,125.51497305619708,61.311983659725605,257.4254560708145,427.93687664042,3.409448818897638,20200307,0.2479438366342976,0.6592106724059887,0.09284549095971371,0.5132337492633683,117087.0,0.06505633802816901,0.6153846153846154,1,0,0,1,0,0,0,0,0
3512,ZA3,Nothern Cape,ZA309,Frances Baard,2020-03-07,3695,1567,870,494005066.7677659,86555041.58945264,17034217,76.83453766350925,61.81932113401174,352.8281808146787,326.3259961685824,4.247126436781609,20200307,0.2860169290028057,0.6497360787483951,0.06424699224879928,0.49189928194398214,420580.0,0.29907801418439717,0.8846153846153846,1,0,0,1,0,0,0,0,0
3513,ZA7,Gauteng,ZA797,Ekurhuleni,2020-03-07,76966,38543,21603,4940935275.616328,1203460091.1592004,250378964,54.2185215982815,34.61535118518923,142.11705980545378,193.1668163372371,3.562745914919224,20200307,0.23296733680905687,0.7203157619169479,0.04671690127399521,0.5205474946472306,3739653.0,0.7435109289617486,0.9615384615384616,1,0,0,1,0,0,0,0,0
3514,ZA7,Gauteng,ZA748,West Rand,2020-03-07,13851,7236,4682,1102420224.332271,246883613.41946727,51911571,62.46428777705581,32.76513567157527,146.3075969969869,184.79129645450664,2.958351131994874,20200307,0.23154887232085752,0.7207832829912092,0.047667844687933295,0.5288128906961219,856804.0,0.23715802469135805,0.8076923076923077,1,0,0,1,0,0,0,0,0
3515,ZA4,Free State,ZA420,Fezile Dabi,2020-03-07,6132,3068,1881,628920120.864103,132197986.25106505,29608703,80.47592683191998,43.670398898564045,207.75802515862617,262.3489544568492,3.259968102073365,20200307,0.2705098118551487,0.6604572122193,0.06903297592555128,0.5050070807202104,494300.0,0.2276555023923445,0.7884615384615384,1,0,0,1,0,0,0,0,0
3516,ZA2,Eastern Cape,ZA210,Cacadu,2020-03-07,5415,2349,1374,820191570.1705476,89587172.58247297,22080729,67.96161588180979,40.514474699230725,370.9195151527541,267.8399927219796,3.941048034934498,20200307,0.2618455236218228,0.6571170870354837,0.08103738934269357,0.4975242081945451,491156.0,-0.01848062015503876,0.5,1,0,0,1,0,0,0,0,0
3517,ZA5,KwaZulu-Natal,ZA528,Uthungulu,2020-03-07,3656,1757,840,238530581.0709596,54685823.91757869,15589952,71.07016776075857,40.452613816841406,176.44765660134075,309.32444444444445,4.352380952380952,20200307,0.3398562749304085,0.6096443299200878,0.05049939514950375,0.4759701217345943,889476.0,-0.2202014106583072,0.15384615384615385,1,0,0,1,0,0,0,0,0
3518,ZA4,Free State,ZA494,Mangaung,2020-03-07,11366,4874,2515,1098560763.0866177,165308161.79010886,41882938,61.415534635462485,40.84203959367078,271.4171018307304,277.5542611000663,4.519284294234592,20200307,0.26262942751272955,0.6754982029249197,0.06187236956235082,0.4901411892511804,826621.0,0.27329104477611943,0.8269230769230769,1,0,0,1,0,0,0,0,0
3519,ZA2,Eastern Cape,ZA215,O.R.Tambo,2020-03-07,964,417,266,96282451.90959984,19968515.753452845,14044686,242.81960580912863,46.64609188320669,224.9140674233151,879.9928571428571,3.62406015037594,20200307,0.38804558548824664,0.5482866433400703,0.06366777117168307,0.4623163104135049,1358678.0,-0.23807536101083035,0.1346153846153846,1,0,0,1,0,0,0,0,0
3520,ZA8,Mpumalanga,ZA832,Ehlanzeni,2020-03-07,9153,3693,2180,1058641304.320624,180378912.92509508,47147530,85.85077752285225,51.41388081593604,301.7473437694461,360.455122324159,4.198623853211009,20200307,0.32438893780700045,0.6235217992770762,0.05208926291592337,0.47979089412028486,1837538.0,0.1315940928270042,0.7307692307692307,1,0,0,1,0,0,0,0,0
