,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,trip_miles/person,miles/person,minutes/trip,minutes/person,trips/person,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
44537,ZA4,Free State,ZA2,Eastern Cape,2020-06-11,2020-06-25,1,1,1,414022.4882962816,413915.2941779383,1226111,257.1950398286123,257.2616471657281,20435.18333333333,20435.18333333333,1.0,20200611,20200625,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.2248492570676798,0.7777777777777778,-0.04666754827373582,0.2222222222222222,5.0,1273.0,1,1,3,0,0,0,1,0,0
44538,ZA5,KwaZulu-Natal,ZA2,Eastern Cape,2020-06-11,2020-06-11,28,28,27,11923648.310415825,4848819.076727871,314035,111.58949965368616,274.40783579487976,186.92559523809524,193.8487654320988,1.037037037037037,20200611,20200611,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.07735186107982292,0.5555555555555556,-0.04666754827373582,0.2222222222222222,125.0,714.0,1,1,3,0,0,0,1,0,0
44539,ZA7,Gauteng,ZA9,Limpopo,2020-06-11,2020-06-11,167,166,166,96175328.44309708,41804467.694667324,2873586,156.48248151977438,360.00348493074944,286.7850299401198,288.5126506024097,1.0060240963855422,20200611,20200611,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.6706237180439658,1.0,-0.020299216875639643,0.3333333333333333,758.0,10.0,1,1,3,0,0,0,1,0,0
44541,ZA6,North West,ZA7,Gauteng,2020-06-11,2020-06-11,460,451,444,91992043.04117252,37106543.86294896,4041393,51.93003918902594,128.74145374063403,146.42728260869566,151.70394144144146,1.036036036036036,20200611,20200611,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.04677388157695324,0.1111111111111111,0.6706237180439658,1.0,100.0,758.0,1,1,3,0,0,0,1,0,0
44542,ZA1,Western Cape,,,2020-06-11,2020-06-11,23,23,23,32581139.90671645,22393059.74288193,374606,604.9740100120171,880.2165977516426,271.4536231884058,271.4536231884058,1.0,20200611,20200611,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,,,,,,0.48495156727992644,0.8888888888888888,,,1401.0,,1,1,3,0,0,0,1,0,0
44544,ZA4,Free State,ZA3,Nothern Cape,2020-06-11,2020-06-11,41,38,36,19268876.11178907,6830620.940066278,632434,117.89864103473006,332.5867922959961,257.08699186991873,292.7935185185185,1.1388888888888888,20200611,20200611,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.2248492570676798,0.7777777777777778,0.09958456723393624,0.6666666666666666,5.0,7.0,1,1,3,0,0,0,1,0,0
44545,ZA5,KwaZulu-Natal,ZA1,Western Cape,2020-06-11,2020-06-11,22,22,22,52247594.21495346,28036397.987434044,383465,791.8640928860128,1475.68863222173,290.5037878787879,290.5037878787879,1.0,20200611,20200611,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.07735186107982292,0.5555555555555556,0.48495156727992644,0.8888888888888888,125.0,1401.0,1,1,3,0,0,0,1,0,0
44546,ZA7,Gauteng,ZA8,Mpumalanga,2020-06-11,2020-06-12,19,19,19,5938194.074649075,2559592.5557496496,756311,83.70826726357707,194.20119641586143,663.430701754386,663.430701754386,1.0,20200611,20200612,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.6706237180439658,1.0,0.0523010419666447,0.4444444444444444,758.0,15.0,1,1,3,0,0,0,1,0,0
44547,ZA2,Eastern Cape,ZA2,Eastern Cape,2020-06-11,2020-06-12,977,977,975,73048286.13116561,35267850.297532625,33784805,22.476334550795546,46.55394937868337,576.3358068918458,577.5180341880342,1.002051282051282,20200611,20200612,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,-0.04666754827373582,0.2222222222222222,714.0,747.0,1,1,3,0,0,0,1,0,0
44548,ZA7,Gauteng,ZA5,KwaZulu-Natal,2020-06-11,2020-06-12,7,7,7,6972522.926788383,3460991.2249551737,405000,307.222891967621,618.9321262743775,964.2857142857142,964.2857142857142,1.0,20200611,20200612,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.6706237180439658,1.0,0.07735186107982292,0.5555555555555556,758.0,101.0,1,1,3,0,0,0,1,0,0
