,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
110119,ZA4,Free State,ZA8,Mpumalanga,2020-12-28,2020-12-28,30,30,30,15216710.912600027,6622214.40703304,443540,20201228,20201228,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.2248492570676798,0.7777777777777778,0.0523010419666447,0.4444444444444444,103.0,242.0,1,1,1,0,1,0,0,0,0
110120,ZA8,Mpumalanga,ZA4,Free State,2020-12-28,2020-12-28,22,22,22,11142957.775240434,4173599.856600837,345181,20201228,20201228,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.0523010419666447,0.4444444444444444,0.2248492570676798,0.7777777777777778,242.0,103.0,1,1,1,0,1,0,0,0,0
110121,ZA4,Free State,ZA4,Free State,2020-12-28,2020-12-28,8602,4342,3106,661078888.1492351,116366250.25009488,51956301,20201228,20201228,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2248492570676798,0.7777777777777778,0.2248492570676798,0.7777777777777778,103.0,103.0,1,1,1,0,1,0,0,0,0
110122,ZA9,Limpopo,ZA7,Gauteng,2020-12-28,2020-12-28,216,216,214,106745293.45128456,51261958.04990661,4198802,20201228,20201228,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.020299216875639643,0.3333333333333333,0.6706237180439658,1.0,191.0,1861.0,1,1,1,0,1,0,0,0,0
110123,ZA7,Gauteng,ZA5,KwaZulu-Natal,2020-12-28,2020-12-28,176,176,174,126712570.1528574,87771665.41012903,4931895,20201228,20201228,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.6706237180439658,1.0,0.07735186107982292,0.5555555555555556,1861.0,2293.0,1,1,1,0,1,0,0,0,0
110124,ZA3,Nothern Cape,ZA6,North West,2020-12-28,2020-12-28,32,32,32,26832130.03518692,7038018.982773243,627113,20201228,20201228,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.09958456723393624,0.6666666666666666,-0.04677388157695324,0.1111111111111111,50.0,133.0,1,1,1,0,1,0,0,0,0
110125,ZA6,North West,ZA6,North West,2020-12-28,2020-12-28,8155,4134,2957,590563042.3965,108788096.27079505,47796567,20201228,20201228,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,-0.04677388157695324,0.1111111111111111,133.0,133.0,1,1,1,0,1,0,0,0,0
110126,ZA5,KwaZulu-Natal,ZA1,Western Cape,2020-12-28,2020-12-28,16,16,16,28911140.117108718,19867071.208520573,439090,20201228,20201228,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.07735186107982292,0.5555555555555556,0.48495156727992644,0.8888888888888888,2293.0,2195.0,1,1,1,0,1,0,0,0,0
110127,ZA3,Nothern Cape,ZA4,Free State,2020-12-28,2020-12-28,61,61,61,53875375.18447642,12442898.138105577,996159,20201228,20201228,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.09958456723393624,0.6666666666666666,0.2248492570676798,0.7777777777777778,50.0,103.0,1,1,1,0,1,0,0,0,0
110128,ZA3,Nothern Cape,ZA8,Mpumalanga,2020-12-28,2020-12-28,2,2,2,3752731.819615461,1734539.4312683614,108272,20201228,20201228,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.09958456723393624,0.6666666666666666,0.0523010419666447,0.4444444444444444,50.0,242.0,1,1,1,0,1,0,0,0,0
110129,ZA4,Free State,ZA5,KwaZulu-Natal,2020-12-28,2020-12-29,12,12,12,11329746.744040174,3926170.12297156,705182,20201228,20201229,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.2248492570676798,0.7777777777777778,0.07735186107982292,0.5555555555555556,103.0,2836.0,1,1,1,0,1,0,0,0,0
110130,ZA1,Western Cape,ZA2,Eastern Cape,2020-12-28,2020-12-29,12,12,12,15181822.887220288,5190655.04734461,839525,20201228,20201229,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.48495156727992644,0.8888888888888888,-0.04666754827373582,0.2222222222222222,2195.0,851.0,1,1,1,0,1,0,0,0,0
110131,ZA2,Eastern Cape,ZA4,Free State,2020-12-28,2020-12-28,47,47,47,52457213.2656176,19874400.812990844,1183942,20201228,20201228,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,-0.04666754827373582,0.2222222222222222,0.2248492570676798,0.7777777777777778,390.0,103.0,1,1,1,0,1,0,0,0,0
110132,ZA2,Eastern Cape,ZA7,Gauteng,2020-12-28,2020-12-28,42,42,42,69785751.58369087,36162681.68155071,1385761,20201228,20201228,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.04666754827373582,0.2222222222222222,0.6706237180439658,1.0,390.0,1861.0,1,1,1,0,1,0,0,0,0
110133,ZA1,Western Cape,ZA1,Western Cape,2020-12-28,2020-12-28,55880,27481,19801,7974003331.37525,915513491.6570884,320715843,20201228,20201228,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.48495156727992644,0.8888888888888888,0.48495156727992644,0.8888888888888888,2195.0,2195.0,1,1,1,0,1,0,0,0,0
110134,ZA7,Gauteng,ZA4,Free State,2020-12-28,2020-12-28,474,467,455,134188036.36726482,55929362.2623789,6718315,20201228,20201228,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.6706237180439658,1.0,0.2248492570676798,0.7777777777777778,1861.0,103.0,1,1,1,0,1,0,0,0,0
110135,ZA7,Gauteng,ZA1,Western Cape,2020-12-28,2020-12-28,142,142,142,231505404.9857685,171827667.67346323,3642550,20201228,20201228,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.6706237180439658,1.0,0.48495156727992644,0.8888888888888888,1861.0,2195.0,1,1,1,0,1,0,0,0,0
110136,ZA4,Free State,ZA1,Western Cape,2020-12-28,2020-12-28,39,39,39,51960364.74565702,31441146.49454384,1553609,20201228,20201228,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.2248492570676798,0.7777777777777778,0.48495156727992644,0.8888888888888888,103.0,2195.0,1,1,1,0,1,0,0,0,0
110137,ZA8,Mpumalanga,ZA1,Western Cape,2020-12-28,2020-12-28,1,1,1,1272994.505929973,1272994.505929973,2715,20201228,20201228,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.0523010419666447,0.4444444444444444,0.48495156727992644,0.8888888888888888,242.0,2195.0,1,1,1,0,1,0,0,0,0
110138,ZA6,North West,ZA7,Gauteng,2020-12-28,2020-12-28,710,705,667,151310296.75193417,57716342.08175321,7964717,20201228,20201228,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,-0.04677388157695324,0.1111111111111111,0.6706237180439658,1.0,133.0,1861.0,1,1,1,0,1,0,0,0,0
110139,ZA7,Gauteng,ZA9,Limpopo,2020-12-28,2020-12-28,199,198,196,81514210.28094614,41184516.55841578,3599818,20201228,20201228,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.6706237180439658,1.0,-0.020299216875639643,0.3333333333333333,1861.0,191.0,1,1,1,0,1,0,0,0,0
110140,ZA3,Nothern Cape,ZA2,Eastern Cape,2020-12-28,2020-12-28,14,14,14,17267187.23348699,3967364.946739823,293957,20201228,20201228,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.09958456723393624,0.6666666666666666,-0.04666754827373582,0.2222222222222222,50.0,390.0,1,1,1,0,1,0,0,0,0
110141,ZA3,Nothern Cape,ZA1,Western Cape,2020-12-28,2020-12-28,52,51,51,73471894.84374617,24032425.901280828,1484279,20201228,20201228,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.09958456723393624,0.6666666666666666,0.48495156727992644,0.8888888888888888,50.0,2195.0,1,1,1,0,1,0,0,0,0
110142,ZA1,Western Cape,ZA6,North West,2020-12-28,2020-12-29,3,3,3,5785534.78792434,2796622.055846801,256407,20201228,20201229,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.48495156727992644,0.8888888888888888,-0.04677388157695324,0.1111111111111111,2195.0,284.0,1,1,1,0,1,0,0,0,0
110143,ZA4,Free State,ZA5,KwaZulu-Natal,2020-12-28,2020-12-28,108,108,108,73731261.4990108,32378020.358884864,2326282,20201228,20201228,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.2248492570676798,0.7777777777777778,0.07735186107982292,0.5555555555555556,103.0,2293.0,1,1,1,0,1,0,0,0,0
110144,ZA7,Gauteng,ZA7,Gauteng,2020-12-28,2020-12-29,5087,5086,5086,182987783.32797503,53559427.00770956,211524147,20201228,20201229,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.6706237180439658,1.0,0.6706237180439658,1.0,1861.0,2383.0,1,1,1,0,1,0,0,0,0
110145,ZA1,Western Cape,ZA3,Nothern Cape,2020-12-28,2020-12-28,54,54,54,94829013.74105924,24698315.932779096,1550173,20201228,20201228,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.48495156727992644,0.8888888888888888,0.09958456723393624,0.6666666666666666,2195.0,50.0,1,1,1,0,1,0,0,0,0
110146,ZA4,Free State,ZA7,Gauteng,2020-12-28,2020-12-28,517,506,479,189783096.4967876,65414811.55516741,6506641,20201228,20201228,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2248492570676798,0.7777777777777778,0.6706237180439658,1.0,103.0,1861.0,1,1,1,0,1,0,0,0,0
110147,ZA5,KwaZulu-Natal,ZA2,Eastern Cape,2020-12-28,2020-12-28,53,53,53,36774697.72793141,12399431.12702561,1207858,20201228,20201228,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.07735186107982292,0.5555555555555556,-0.04666754827373582,0.2222222222222222,2293.0,390.0,1,1,1,0,1,0,0,0,0
110148,ZA9,Limpopo,ZA8,Mpumalanga,2020-12-28,2020-12-29,13,13,13,4863645.34678446,1752661.1656573438,509793,20201228,20201229,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,-0.020299216875639643,0.3333333333333333,0.0523010419666447,0.4444444444444444,191.0,349.0,1,1,1,0,1,0,0,0,0
110149,ZA2,Eastern Cape,ZA2,Eastern Cape,2020-12-28,2020-12-28,13726,6814,4944,1631975909.6608262,203938415.7996242,84113482,20201228,20201228,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04666754827373582,0.2222222222222222,-0.04666754827373582,0.2222222222222222,390.0,390.0,1,1,1,0,1,0,0,0,0
110150,ZA4,Free State,ZA7,Gauteng,2020-12-28,2020-12-29,51,51,51,24317367.32339478,8401158.720354408,2300280,20201228,20201229,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2248492570676798,0.7777777777777778,0.6706237180439658,1.0,103.0,2383.0,1,1,1,0,1,0,0,0,0
110151,ZA9,Limpopo,ZA9,Limpopo,2020-12-28,2020-12-30,31,31,31,4897954.715629978,1218540.0494496974,5280459,20201228,20201230,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,-0.020299216875639643,0.3333333333333333,-0.020299216875639643,0.3333333333333333,191.0,750.0,1,1,1,0,1,0,0,0,0
110152,ZA6,North West,ZA8,Mpumalanga,2020-12-28,2020-12-28,9,9,9,6908661.314348737,3552854.6325313863,272660,20201228,20201228,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,-0.04677388157695324,0.1111111111111111,0.0523010419666447,0.4444444444444444,133.0,242.0,1,1,1,0,1,0,0,0,0
110153,ZA4,Free State,ZA4,Free State,2020-12-28,2020-12-29,628,628,627,38574974.87746965,7271439.20479946,25941793,20201228,20201229,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.2248492570676798,0.7777777777777778,0.2248492570676798,0.7777777777777778,103.0,100.0,1,1,1,0,1,0,0,0,0
110154,ZA8,Mpumalanga,ZA8,Mpumalanga,2020-12-28,2020-12-31,8,8,8,5039535.703574646,3160066.510774513,1881036,20201228,20201231,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.0523010419666447,0.4444444444444444,0.0523010419666447,0.4444444444444444,242.0,548.0,1,1,1,0,1,0,0,0,0
110155,ZA8,Mpumalanga,ZA5,KwaZulu-Natal,2020-12-28,2020-12-28,80,80,80,51537560.30698029,24909535.914200008,1670435,20201228,20201228,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.0523010419666447,0.4444444444444444,0.07735186107982292,0.5555555555555556,242.0,2293.0,1,1,1,0,1,0,0,0,0
110156,ZA3,Nothern Cape,ZA4,Free State,2020-12-28,2020-12-29,10,10,10,8087818.896402099,2160744.252036689,460729,20201228,20201229,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.09958456723393624,0.6666666666666666,0.2248492570676798,0.7777777777777778,50.0,100.0,1,1,1,0,1,0,0,0,0
110157,ZA5,KwaZulu-Natal,ZA5,KwaZulu-Natal,2020-12-28,2020-12-30,38,38,38,12524449.1551946,1851622.845757418,5835210,20201228,20201230,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,0.07735186107982292,0.5555555555555556,2293.0,5847.0,1,1,1,0,1,0,0,0,0
110158,ZA3,Nothern Cape,ZA1,Western Cape,2020-12-28,2020-12-29,11,11,11,16268275.692121755,5244387.612764692,879699,20201228,20201229,0.2905180543789262,0.6449880916225764,0.06449385399849747,0.5008080113808923,1251220.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.09958456723393624,0.6666666666666666,0.48495156727992644,0.8888888888888888,50.0,2263.0,1,1,1,0,1,0,0,0,0
110159,ZA1,Western Cape,ZA9,Limpopo,2020-12-28,2020-12-28,7,7,7,17299133.43239254,10217518.603952937,238251,20201228,20201228,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.48495156727992644,0.8888888888888888,-0.020299216875639643,0.3333333333333333,2195.0,191.0,1,1,1,0,1,0,0,0,0
110160,ZA2,Eastern Cape,ZA1,Western Cape,2020-12-28,2020-12-28,130,129,129,132425682.9047998,38696674.23270635,3147634,20201228,20201228,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,-0.04666754827373582,0.2222222222222222,0.48495156727992644,0.8888888888888888,390.0,2195.0,1,1,1,0,1,0,0,0,0
110161,ZA5,KwaZulu-Natal,ZA5,KwaZulu-Natal,2020-12-28,2020-12-31,18,18,18,3051125.1309729163,693295.890270254,4559487,20201228,20201231,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.07735186107982292,0.5555555555555556,0.07735186107982292,0.5555555555555556,2293.0,5354.0,1,1,1,0,1,0,0,0,0
110162,ZA9,Limpopo,ZA8,Mpumalanga,2020-12-28,2020-12-28,138,138,137,46505225.08654606,17110826.027904965,2252371,20201228,20201228,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,-0.020299216875639643,0.3333333333333333,0.0523010419666447,0.4444444444444444,191.0,242.0,1,1,1,0,1,0,0,0,0
