State name,LGA name,Matching name,original names in APO,matching state,,original names in APO,notes:,https://aboutnigerians.com/list-of-36-states-and-their-local-governments/#:~:text=There%20are%20774%20local%20government
Abia,Aba North,Aba North,,Abia,1,,,
Abia,Aba South,Aba South,,Abia,1,,,
Abia,Aba South,Aba South,,Abia,1,,,
Abia,Bende,Bende,,Abia,1,,,
Abia,Ikwuano,Ikwuano,,Abia,1,,,
Abia,Isiala-Ngwa North,Isiala-Ngwa North,,Abia,1,,,
Abia,Isiala-Ngwa South,Isiala-Ngwa South,,Abia,1,,,
Abia,Obi Ngwa,Obi Ngwa,Obioma Ngwa,Abia,1,,in wiki Obingwa,
Abia,Osisioma Ngwa,Osisioma Ngwa,,Abia,1,,,
Abia,Ugwunagbo,Ugwunagbo,,Abia,1,,,
Abia,Ukwa East,Ukwa East,,Abia,1,,,
Abia,Ukwa West,Ukwa West,,Abia,1,,,
Abia,Umuahia North,Umuahia North,Umuahia,Abia,1,,,
Abia,Umuahia South,Umuahia South,,Abia,1,,,
Abia,Umu-Nneochi,Umu-Nneochi,Umunneochi,Abia,1,,google map Umu-Nneochi,
Akwalbom,Eastern Obolo,Eastern Obolo,,Akwa Ibom,0,,,
Akwalbom,Eket,Eket,,Akwa Ibom,0,,,
Akwalbom,Uyo,Uyo,,Akwa Ibom,0,,,
Anambra,Ayamelum,Ayamelum,Aghamelum,Anambra,1,,"no place name Aghamelum, seems APO typo",
Anambra,Anambra West,Anambra West,,Anambra,1,,,
Anambra,Awka South,Awka South,,Anambra,1,,,
Anambra,Ihiala,Ihiala,,Anambra,1,,,
Anambra,Ogbaru,Ogbaru,,Anambra,1,,,
Anambra,Onitsha North,Onitsha North,,Anambra,1,,,
Anambra,Anambra west,Anambra West,,Anambra,1,,,
Anambra,Awka North,Awka North,Akwa South,Anambra,1,,Akwa is a state name: Akwa Ibom; Awka is a LGA name in Anambra,
Anambra,Ihiala,Ihiala,,Anambra,1,,,
Anambra,Oyi,Oyi,Ogu,Anambra,1,,"no place name Ogu, seems APO typo",
Bauchi,Bauchi,Bauchi,,Bauchi,1,,,
Bauchi,Gamawa,Gamawa,,Bauchi,1,,,
Bauchi,Jama'are,Jama'are,,Bauchi,1,,,
Bauchi,Shira,Shira,,Bauchi,1,,,
Bauchi,Warji,Warji,,Bauchi,1,,,
Bayelsa,Brass,Brass,,Bayelsa,1,,,
Bayelsa,Ekeremor,Ekeremor,,Bayelsa,1,,,
Bayelsa,Ogbia,Ogbia,,Bayelsa,1,,,
Bayelsa,Sagbama,Sagbama,,Bayelsa,1,,,
Bayelsa,Yenegoa,Yenegoa,Yenagoa,Bayelsa,1,,The APO name can be found in wiki,
Benue,Logo,Logo,,Benue,1,,,
Benue,Makurdi,Makurdi,,Benue,1,,,
Benue,Oju,Oju,,Benue,1,,,
Borno,Maiduguri,Maiduguri,,Borno,1,,,
Cross River,Abi,Abi,,Cross River,1,,,
Cross River,Calabar South,Calabar South,,Cross River,1,,,
Cross River,Etung,Etung,,Cross River,1,,,
Cross River,Ikom,Ikom,,Cross River,1,,,
Cross River,Ogoja,Ogoja,,Cross River,1,,,
Delta,Burutu,Burutu,,Delta,1,,,
Delta,Isoko South,Isoko South,,Delta,1,,,
Delta,Ndokwa East,Ndokwa East,,Delta,1,,,
Delta,Ndokwa West,Ndokwa West,,Delta,1,,,
Delta,Oshimili North,Oshimili North,,Delta,1,,,
Delta,Oshimili South,Oshimili South,,Delta,1,,,
Delta,Patani,Patani,,Delta,1,,,
Delta,Ughelli South,Ughelli South,,Delta,1,,,
Delta,Uvwie,Uvwie,,Delta,1,,,
Delta,Warri South,Warri South,,Delta,1,,,
Ebonyi,Afikpo North,Afikpo North,,Ebonyi,1,,,
Ebonyi,Afikpo South,Afikpo South,,Ebonyi,1,,,
Ebonyi,Ikwo,Ikwo,,Ebonyi,1,,,
Edo,Etsako Central,Etsako Central,,Edo,1,,,
Edo,Ikpoba-Okha,Ikpoba-Okha,Ikpoba Okha,Edo,1,,,
Ekiti,Ikere,Ikere,Ikere Ekiti,Ekiti,1,,Ekiti is a state name but it is also a LGA name of Kwara state ,
Kaduna,Chikun,Chikun,,Kaduna,1,Enugu,,
Enugu,Awgu,Awgu,,Enugu,1,,,
Enugu,Nsukka,Nsukka,,Enugu,1,,,
Enugu,Uzo-Uwani,Uzo-Uwani,,Enugu,1,,,
FCT,Bwari,Bwari,,Federal Capital Territory,0,,,
FCT,Gwagwalada,Gwagwalada,,Federal Capital Territory,0,,,
FCT,Abuja Municipal,Abuja Municipal,Municipal,Federal Capital Territory,0,,,
Gombe,Akko,Akko,,Gombe,1,,,
Gombe,Billiri,Billiri,Billri,Gombe,1,,seems typo in APO,
Gombe,Dukku,Dukku,,Gombe,1,,,
Gombe,Funakaye,Funakaye,,Gombe,1,,,
Gombe,Gombe,Gombe,,Gombe,1,,,
Gombe,Kwami,Kwami,,Gombe,1,,,
Gombe,Nafada,Nafada,,Gombe,1,,,
Gombe,Shomgom,Shomgom,Shongom,Gombe,1,,The APO name can be found in wiki,
Gombe,Yamaltu/Deba,Yamaltu/Deba,,Gombe,1,,,
Imo,Isu,Isu,,Imo,1,,,
Imo,Nkwerre,Nkwerre,,Imo,1,,,
Imo,Oguta,Oguta,,Imo,1,,,
Imo,Owerri West,Owerri West,Owerri - West,Imo,1,,,
Jigawa,Babura,Babura,,Jigawa,1,,,
Jigawa,Birni Kudu,Birni Kudu,Birnin - Kudu,Jigawa,1,,The APO name can be found in wiki,
Jigawa,Biriniwa,Biriniwa,Birniwa,Jigawa,1,,The APO name can be found in wiki,
Jigawa,Gumel,Gumel,,Jigawa,1,,,
Jigawa,Babura,Babura,,Jigawa,1,,,
Jigawa,Guri,Guri,,Jigawa,1,,,
Jigawa,Gwaram,Gwaram,,Jigawa,1,,,
Jigawa,Hadejia,Hadejia,,Jigawa,1,,,
Jigawa,Jahun,Jahun,,Jigawa,1,,,
Jigawa,Kaugama,Kaugama,,Jigawa,1,,,
Jigawa,Kiri Kasamma,Kiri Kasamma,Kiri - Kasamma,Jigawa,1,,,
Jigawa,Malam Madori,Malam Madori,Malam - Maduri,Jigawa,1,,The Madori can be found on wiki,
Jigawa,Miga,Miga,,Jigawa,1,,,
Jigawa,Ringim,Ringim,,Jigawa,1,Kaduna,,
Kaduna,Chikun,Chikun,,Kaduna,1,,,
Kaduna,Igabi,Igabi,,Kaduna,1,,,
Kaduna,Jema'a,Jema'a,,Kaduna,1,,,
Kaduna,Kaduna North,Kaduna North,,Kaduna,1,,,
Kaduna,Kaduna South,Kaduna South,,Kaduna,1,,,
Kaduna,Kudan,Kudan,,Kaduna,1,Kano,,
Kano,Dala,Dala,,Kano,1,,,
Kano,Dambatta,Dambatta,Danbatta,Kano,1,,Dambatta can be found on wiki and google,
Kano,Fagge,Fagge,,Kano,1,,,
Kano,Kano Municipal,Kano Municipal,,Kano,1,,,
Kano,Rogo,Rogo,,Kano,1,,,
Kano,Ungogo,Ungogo,,Kano,1,Katsina,,
Katsina,Baure,Baure,,Katsina,1,,,
Katsina,Kaita,Kaita,,Katsina,1,,,
Katsina,Kankara,Kankara,,Katsina,1,,,
Katsina,Katsina,Katsina,,Katsina,1,,,
Katsina,Mani,Mani,,Katsina,1,Kebbi,,
Kebbi,Argungu,Argungu,,Kebbi,1,,,
Kebbi,Augie,Augie,,Kebbi,1,,,
Kebbi,Bagudo,Bagudo,,Kebbi,1,,,
Kebbi,Birnin Kebbi,Birnin Kebbi,,Kebbi,1,,,
Kebbi,Gwandu,Gwandu,,Kebbi,1,,,
Kebbi,Jega,Jega,,Kebbi,1,Kogi,,
Kogi,Ajaokuta,Ajaokuta,,Kogi,1,,,
Kogi,Bassa,Bassa,,Kogi,1,,,
Kogi,Ibaji,Ibaji,,Kogi,1,,,
Kogi,Idah,Idah,,Kogi,1,,,
Kogi,Igalamela-Odolu,Igalamela-Odolu,Igala Mela,Kogi,1,,"Igalamela-Odolu can be found on wiki, google ",
Kogi,Kogi,Kogi,,Kogi,1,,,
Kogi,Lokoja,Lokoja,,Kogi,1,,,
Kogi,Ofu,Ofu,,Kogi,1,,,
Kogi,Omala,Omala,,Kogi,1,Kwara,,
Kwara,Edu,Edu,,Kwara,1,,,
Kwara,Ilorin West,Ilorin West,Ilorin West / East,Kwara,1,,,
Kwara,Ilorin East,Ilorin East,Ilorin West / East,Kwara,1,,,
Kwara,Moro,Moro,,Kwara,1,,,
Kwara,Pategi,Pategi,,Kwara,1,Lagos,,
Lagos,Agege,Agege,,Lagos,1,,,
Lagos,Ajeromi-Ifelodun,Ajeromi-Ifelodun, Ajeromi Ifelodun,Lagos,1,,,
Lagos,Alimosho,Alimosho,,Lagos,1,,,
Lagos,Amuwo-Odofin,Amuwo-Odofin,Amuwo Odofin,Lagos,1,,,
Lagos,Apapa,Apapa,,Lagos,1,,,
Lagos,Badagry,Badagry,,Lagos,1,,,
